id,id_orar,ora_inceput,ora_final,profesor,materie,sala,saptamana,grupa
1,1,12:00,14:00,"Marin Li",ElemCalcStiin,"Sala L-309","Impar / Par",none
2,1,14:00,16:00,"Marin Li",ElemCalcStiin,"Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
3,1,16:00,18:00,"Vuletescu V","Geometrie II","Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
4,1,9:00,12:00,"Munteanu R","AnalizaMate II","Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
5,1,12:00,15:00,"Munteanu R","AnalizaMate II","Sala 10","Impar / Par",none
6,1,14:00,16:00,"Leustean L",LogicaMatem,"Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
7,1,16:00,18:00,"Dragomir A",LogicaMatem,"Sala 216",Impar,none
8,1,11:00,14:00,"Vuletescu V","Geometrie II","Sala 219","Impar / Par",none
9,1,14:00,16:00,"Dascalescu S","Algebra Il","Amf. R1 (Et. 1, Fac. Chimie)","Impar / Par",none
10,1,16:00,19:00,"Dascalescu S",Algebra,"Sala II","Impar / Par",none
11,2,12:00,14:00,"Popescu RC",Geom&AlgLin,"Amf. Titeica (Et. 3)","Impar / Par",none
12,2,14:00,16:00,"Dumitran M",StructDate,"Amf. Titeica (Et. 3)","Impar / Par",none
13,2,18:00,20:00,"Pacioianu D",POO,"Sala L.121D","Impar / Par",Grupa:2
14,2,8:00,10:00,"Mereu A ",LbForm&Autom,"Sala E2216",Impar,Grupa:1
15,2,10:00,12:00,"Paun A",LbForm&Autom,"Amf. Pompeiu (Et. 2)","Impar / Par",none
16,2,12:00,14:00,"Ghisoiu V",Geom&AlgLin,"Sala 8","Impar / Par",none
17,2,14:00,16:00,"Moanga N ",BD,"Sala L.221C",Impar,Grupa:1
18,2,14:00,16:00,"Dinu R",LbForm&Autom,"Sala 10",Par,none
19,2,16:00,18:00,"Moanga N ",BD,"Sala L.221C",Par,Grupa:1
20,2,8:00,10:00,"Mereu A ",LbForm&Autom,"Sala L.221C",Par,Grupa:2
21,2,8:00,10:00,"Petrescu AM",TehniciWeb,"Sala L.221A","Impar / Par",Grupa:1
22,2,12:00,14:00,"Dobrovat A",POO,"Amf. Pompeiu (Et. 2)","Impar / Par",none
23,2,14:00,16:00,"Dumitran M",StructDate,"Sala 219",Impar,none
24,2,18:00,20:00,"Pacioianu D",POO,"Sala L-309","Impar / Par",Grupa:1
25,2,18:00,20:00,"Moanga N",BD,"Sala L.221C","Impar / Par",Grupa:2
26,2,16:00,18:00,"Dumitran M ",StructDate,"Sala L.302A",Par,Grupa:2
27,2,14:00,16:00,"Chirita Ca",TehniciWeb,"Amf. Hater (Et. 0)","Impar / Par",none
28,2,10:00,12:00,"Dumitran M ",StructDate,"Sala L.310",Par,Grupa:1
29,2,12:00,14:00,"Cheptea D",POO,"Sala 216",Par,none
30,2,10:00,12:00,"Marin Le",BD,"Amf. Stoilow (Et. 1)","Impar / Par",none
31,2,8:00,10:00,"Dimisca C",TehniciWeb,"Sala L.221A","Impar / Par",Grupa:2
32,3,12:00,14:00,"Popescu RC",Geom&AlgLin,"Amf. Titeica (Et. 3)","Impar / Par",none
33,3,14:00,16:00,"Dumitran M",StructDate,"Amf. Titeica (Et. 3)","Impar / Par",none
34,3,16:00,18:00,"Bilbie F",POO,"Sala 3",Impar,none
35,3,10:00,12:00,"Paun A",LbForm&Autom,"Amf. Pompeiu (Et. 2)","Impar / Par",none
36,3,12:00,14:00,"Dumitran M",LbForm&Autom,"Sala 219",Impar,none
37,3,14:00,16:00,"Dumitran M ",StructDate,"Sala L.221A",Impar,Grupa:1
38,3,14:00,16:00,"Dumitran M ",StructDate,"Sala L.221A",Par,Grupa:2
39,3,8:00,10:00,"Lupascu M ",POO,"Sala L.121D",Impar,Grupa:1
40,3,10:00,12:00,"Marin Le ",BD,"Sala 201(BD)",Impar,Grupa:1
41,3,12:00,14:00,"Dobrovat A",POO,"Amf. Pompeiu (Et. 2)","Impar / Par",none
42,3,8:00,10:00,"Marin Le ",BD,"Sala 201(BD)",Impar,Grupa:2
43,3,8:00,10:00,"Marin Le ",BD,"Sala 201(BD)",Par,Grupa:1
44,3,14:00,16:00,"Dumitran M",StructDate,"Sala 219",Par,none
45,3,8:00,10:00,"Lupascu M ",POO,"Sala L.121D",Par,Grupa:2
46,3,10:00,12:00,"Marin Le ",BD,"Sala 201(BD)",Par,Grupa:2
47,3,8:00,10:00,"Nicolae BM ",TehniciWeb,"Sala L.218",Impar,Grupa:1
48,3,12:00,14:00,"Oprea T",Geom&AlgLin,"Sala 0","Impar / Par",none
49,3,14:00,16:00,"Chirita Ca",TehniciWeb,"Amf. Hater (Et. 0)","Impar / Par",none
50,3,16:00,18:00,"Dumitran M ",LbForm&Autom,"Sala L.221C",Impar,Grupa:1
51,3,8:00,10:00,"Lupascu M ",POO,"Sala L-309",Impar,Grupa:2
52,3,10:00,12:00,"Nicolae BM ",TehniciWeb,"Sala L.218",Impar,Grupa:2
53,3,8:00,10:00,"Lupascu M ",POO,"Sala L-309",Par,Grupa:1
54,3,10:00,12:00,"Nicolae BM ",TehniciWeb,"Sala L.218",Par,Grupa:1
55,3,8:00,10:00,"Nicolae BM ",TehniciWeb,"Sala L.218",Par,Grupa:2
56,3,16:00,18:00,"Dumitran M ",LbForm&Autom,"Sala L.221C",Par,Grupa:2
57,3,10:00,12:00,"Marin Le",BD,"Amf. Stoilow (Et. 1)","Impar / Par",none
58,4,12:00,14:00,"Georgescu Gi",LbForm&Autom,"Amf. Pompeiu (Et. 2)","Impar / Par",none
59,4,14:00,16:00,"Negru M",LbForm&Autom,"Sala 219",Par,none
60,4,16:00,18:00,"Bilbie F",POO,"Sala 3",Par,none
61,4,8:00,10:00,"Paun A",POO,"Amf. Pompeiu (Et. 2)","Impar / Par",none
62,4,12:00,14:00,"Mincu R ",StructDate,"Sala L.310",Impar,Grupa:1
63,4,14:00,16:00,"Ciocan I",TehniciWeb,"Sala L-322","Impar / Par",Grupa:1
